#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     30        30       3     135643.33       4608.06      87611.33      0.33337      3.36688     0.6560     0.0110     0.0110
     30        30       6     129032.75       4608.06     286593.87      0.68621      2.94407     0.4630     0.0230     0.0230
     30        30       9     124985.60       4608.06     327646.68      0.40109      3.23863     0.6620     0.0050     0.0050
     30        30      12     125080.83       4608.06     698392.58      1.92855      0.56613     0.0290     0.3930     0.0290
     30        30      15     122577.07       4608.06     918383.41      2.62701     -1.36511     0.0110     0.8590     0.0110
     31        31       3      18272.20      20515.48     172360.85      0.87647      2.95643     0.2470     0.0600     0.0600
     31        31       6      20532.13      20515.48     201556.94      1.20961      3.56180     0.1910     0.0060     0.0060
     31        31       9      21026.72      20515.48     186985.85      1.56682      4.25842     0.0990     0.0000     0.0000
     31        31      12      22347.72      20515.48     390757.16      1.30446      3.06387     0.1660     0.0060     0.0060
     31        31      15      24864.87      20515.48     417250.88      1.42876      3.10826     0.1270     0.0070     0.0070
     32        32       3      70090.74       1395.95    1718099.90      0.35786     -3.40099     0.6350     0.9690     0.6350
     32        32       6      71542.84       1395.95    1182031.79      0.41626     -1.45284     0.6770     0.8560     0.6770
     32        32       9      71804.53       1395.95     980384.23      0.44034     -0.43940     0.6470     0.6830     0.6470
     32        32      12      71991.41       1395.95     864570.72      0.55822      0.31376     0.5840     0.4540     0.4540
     32        32      15      70584.13       1395.95     872487.67      0.03289      0.28287     0.9790     0.4670     0.4670
     33        33       3      84060.80        191.45    2011474.48      0.07798     -4.92152     0.9160     0.9930     0.9160
     33        33       6      82911.29        191.45    1437055.67      0.82677     -3.07264     0.3400     0.9820     0.3400
     33        33       9      82416.97        191.45    1426583.64      0.36797     -3.51251     0.6980     0.9960     0.6980
     33        33      12      81462.21        191.45    1261489.98      0.39385     -2.74363     0.6670     0.9820     0.6670
     33        33      15      80694.37        191.45    1131817.91      0.35495     -1.98050     0.7230     0.9500     0.7230
     34        34       3     109578.07      11813.57    1437149.13      0.06286     -3.00793     0.9280     0.9510     0.9280
     34        34       6     108498.00      11813.57     973956.82      0.72964     -1.02079     0.4270     0.8160     0.4270
     34        34       9     109080.58      11813.57     817518.21      0.93617     -0.09014     0.3140     0.5730     0.3140
     34        34      12     105687.15      11813.57     753110.76      0.63761      0.40552     0.5020     0.4310     0.4310
     34        34      15     108982.44      11813.57     682173.56      0.72480      1.05327     0.4480     0.2600     0.2600
     35        35       3      33737.96      22366.78     458012.79      1.58702      1.59694     0.0440     0.2820     0.0440
     35        35       6      36927.34      22366.78     429732.55      3.32825      2.26428     0.0010     0.0910     0.0010
     35        35       9      37360.39      22366.78     400947.22      3.83472      2.84001     0.0000     0.0190     0.0000
     35        35      12      32434.07      22366.78     400891.00      4.43912      3.09983     0.0000     0.0080     0.0000
     35        35      15      27491.49      22366.78     372432.99      4.92317      3.55882     0.0000     0.0010     0.0000
     36        36       3      73863.65       1514.10    1158040.70      0.79822     -1.04483     0.3130     0.8060     0.3130
     36        36       6      73374.22       1514.10    1147050.98      1.38132     -1.26623     0.1360     0.8490     0.1360
